scenario_id,N,left_part,right_part,term_type,covariance,multiplier,variance_term,n_observations,ddof,component_label,component_kind
scenario_1_iid,4,D_TOTAL,D_TOTAL,variance,0.25,1.0,0.25,,,Total diagonal variance,diagonal_total
scenario_1_iid,4,B_TOTAL,B_TOTAL,covariance,0.0,2.0,0.0,,,Total doubled covariance,covariance_total
scenario_1_iid,8,D_TOTAL,D_TOTAL,variance,0.125,1.0,0.125,,,Total diagonal variance,diagonal_total
scenario_1_iid,8,B_TOTAL,B_TOTAL,covariance,0.0,2.0,0.0,,,Total doubled covariance,covariance_total
scenario_1_iid,16,D_TOTAL,D_TOTAL,variance,0.0625,1.0,0.0625,,,Total diagonal variance,diagonal_total
scenario_1_iid,16,B_TOTAL,B_TOTAL,covariance,0.0,2.0,0.0,,,Total doubled covariance,covariance_total
scenario_1_iid,32,D_TOTAL,D_TOTAL,variance,0.03125,1.0,0.03125,,,Total diagonal variance,diagonal_total
scenario_1_iid,32,B_TOTAL,B_TOTAL,covariance,0.0,2.0,0.0,,,Total doubled covariance,covariance_total
scenario_1_iid,64,D_TOTAL,D_TOTAL,variance,0.015625,1.0,0.015625,,,Total diagonal variance,diagonal_total
scenario_1_iid,64,B_TOTAL,B_TOTAL,covariance,0.0,2.0,0.0,,,Total doubled covariance,covariance_total
scenario_1_rho_0_15,4,D_TOTAL,D_TOTAL,variance,0.25,1.0,0.25,,,Total diagonal variance,diagonal_total
scenario_1_rho_0_15,4,B_TOTAL,B_TOTAL,covariance,0.056249999999999994,2.0,0.11249999999999999,,,Total doubled covariance,covariance_total
scenario_1_rho_0_15,8,D_TOTAL,D_TOTAL,variance,0.125,1.0,0.125,,,Total diagonal variance,diagonal_total
scenario_1_rho_0_15,8,B_TOTAL,B_TOTAL,covariance,0.065625,2.0,0.13125,,,Total doubled covariance,covariance_total
scenario_1_rho_0_15,16,D_TOTAL,D_TOTAL,variance,0.0625,1.0,0.0625,,,Total diagonal variance,diagonal_total
scenario_1_rho_0_15,16,B_TOTAL,B_TOTAL,covariance,0.0703125,2.0,0.140625,,,Total doubled covariance,covariance_total
scenario_1_rho_0_15,32,D_TOTAL,D_TOTAL,variance,0.03125,1.0,0.03125,,,Total diagonal variance,diagonal_total
scenario_1_rho_0_15,32,B_TOTAL,B_TOTAL,covariance,0.07265624999999999,2.0,0.14531249999999998,,,Total doubled covariance,covariance_total
scenario_1_rho_0_15,64,D_TOTAL,D_TOTAL,variance,0.015625,1.0,0.015625,,,Total diagonal variance,diagonal_total
scenario_1_rho_0_15,64,B_TOTAL,B_TOTAL,covariance,0.073828125,2.0,0.14765625,,,Total doubled covariance,covariance_total
scenario_2_heterogeneous_independent,4,A_FAST,A_FAST,variance,0.2871745887492587,1.0,0.2871745887492587,,,N^-0.9 component,variance_component
scenario_2_heterogeneous_independent,4,A_SLOW,A_SLOW,variance,0.2639015821545789,1.0,0.2639015821545789,,,0.4 N^-0.3 component,variance_component
scenario_2_heterogeneous_independent,4,B_ZERO,B_ZERO,covariance,0.0,2.0,0.0,,,Numerical covariance remainder,covariance_total
scenario_2_heterogeneous_independent,8,A_FAST,A_FAST,variance,0.15389305166811454,1.0,0.15389305166811454,,,N^-0.9 component,variance_component
scenario_2_heterogeneous_independent,8,A_SLOW,A_SLOW,variance,0.21435469250725864,1.0,0.21435469250725864,,,0.4 N^-0.3 component,variance_component
scenario_2_heterogeneous_independent,8,B_ZERO,B_ZERO,covariance,0.0,2.0,0.0,,,Numerical covariance remainder,covariance_total
scenario_2_heterogeneous_independent,16,A_FAST,A_FAST,variance,0.08246924442330589,1.0,0.08246924442330589,,,N^-0.9 component,variance_component
scenario_2_heterogeneous_independent,16,A_SLOW,A_SLOW,variance,0.17411011265922482,1.0,0.17411011265922482,,,0.4 N^-0.3 component,variance_component
scenario_2_heterogeneous_independent,16,B_ZERO,B_ZERO,covariance,0.0,2.0,0.0,,,Numerical covariance remainder,covariance_total
scenario_2_heterogeneous_independent,32,A_FAST,A_FAST,variance,0.044194173824159216,1.0,0.044194173824159216,,,N^-0.9 component,variance_component
scenario_2_heterogeneous_independent,32,A_SLOW,A_SLOW,variance,0.14142135623730953,1.0,0.14142135623730953,,,0.4 N^-0.3 component,variance_component
scenario_2_heterogeneous_independent,32,B_ZERO,B_ZERO,covariance,0.0,2.0,0.0,,,Numerical covariance remainder,covariance_total
scenario_2_heterogeneous_independent,64,A_FAST,A_FAST,variance,0.02368307135172497,1.0,0.02368307135172497,,,N^-0.9 component,variance_component
scenario_2_heterogeneous_independent,64,A_SLOW,A_SLOW,variance,0.11486983549970352,1.0,0.11486983549970352,,,0.4 N^-0.3 component,variance_component
scenario_2_heterogeneous_independent,64,B_ZERO,B_ZERO,covariance,0.0,2.0,0.0,,,Numerical covariance remainder,covariance_total
